1606140688.302		103466	98578	121	4139	628	102052	79	157	0	200
1606140688.797		7031	2574	66	4186	205	6469	79	157	0	200
1606140689.296		6899	2996	37	3783	83	6588	79	157	0	200
1606140689.797		20415	5320	74	14490	531	19281	79	157	0	200
1606140690.297		14350	5752	98	8360	140	11478	79	157	0	200
1606140690.797		12728	3740	58	8764	166	12032	79	157	0	200
1606140691.297		135961	104250	151	31297	263	134421	79	157	0	200
1606140691.797		13061	3251	53	9612	145	12515	79	157	0	200
1606140692.297		8966	2643	45	6115	163	8490	79	157	0	200
1606140692.797		18818	5318	179	12932	389	17853	79	157	0	200
1606140693.296		16059	3585	68	12190	216	15434	79	157	0	200
1606140693.796		6716	2207	38	3490	981	6292	79	157	0	200
1606140694.297		26199	14192	139	11690	178	25269	79	157	0	200
1606140694.797		14569	4121	107	10111	230	13889	79	157	0	200
1606140695.297		13672	3806	60	9611	195	13016	79	157	0	200
1606140695.797		30103	9905	169	19722	307	28643	79	157	0	200
1606140696.297		16746	4913	136	11388	309	15828	79	157	0	200
1606140696.797		7009	3020	41	3871	77	6035	79	157	0	200
1606140697.297		26786	12601	138	13898	149	25665	79	157	0	200
1606140697.796		17495	8615	49	8733	98	14549	79	157	0	200
1606140698.297		25291	8171	80	16697	343	23673	79	157	0	200
1606140698.796		12066	3520	537	7817	192	10893	79	157	0	200
1606140699.297		6468	1902	33	4433	100	6104	79	157	0	200
1606140699.797		25364	10724	96	14395	149	24508	79	157	0	200
1606140700.297		13607	4646	98	8564	299	12910	79	157	0	200
1606140700.797		19510	9372	95	9842	201	18868	79	157	0	200
1606140701.297		14413	5540	67	8703	103	13002	79	157	0	200
1606140701.797		283611	186190	40	97270	111	221283	79	157	0	200
1606140702.298		220069	145346	78	74483	162	219515	79	157	0	200
1606140702.796		12654	6752	68	5732	102	11484	79	157	0	200
1606140703.297		27617	10337	170	16826	284	26461	79	157	0	200
1606140703.797		11396	4581	173	6458	184	10557	79	157	0	200
1606140704.297		15735	3975	67	11550	143	15183	79	157	0	200
1606140704.796		13808	9126	50	4520	112	13392	79	157	0	200
1606140705.296		12041	3875	153	7916	97	11515	79	157	0	200
1606140705.797		13087	2197	36	10747	107	12756	79	157	0	200
1606140706.297		28046	10105	52	17681	208	27378	79	157	0	200
1606140706.797		27916	11294	84	12360	4178	27218	79	157	0	200
1606140707.296		20136	12908	576	6395	257	14086	79	157	0	200
1606140707.797		44713	19866	216	24499	132	44101	79	157	0	200
1606140708.297		7411	3503	35	3774	99	7006	79	157	0	200
1606140708.797		10844	3907	86	6605	246	10124	79	157	0	200
1606140709.297		11552	4243	58	7036	215	10789	79	157	0	200
1606140709.797		32076	7727	267	23642	440	28178	79	157	0	200
1606140710.296		18289	5443	77	12521	248	17693	79	157	0	200
1606140710.797		28829	7138	94	21377	220	26472	79	157	0	200
1606140711.297		18587	6088	96	11820	583	17259	79	157	0	200
1606140711.797		19449	6992	183	10556	1718	16875	79	157	0	200
1606140712.296		8845	2671	34	6033	107	8307	79	157	0	200
1606140712.796		6468	2747	47	3531	143	6049	79	157	0	200
1606140713.296		23104	4418	81	18422	183	22595	79	157	0	200
1606140713.797		14041	4521	107	9072	341	13145	79	157	0	200
1606140714.297		24111	7592	174	16247	98	22992	79	157	0	200
1606140714.796		27654	8386	98	18971	199	26642	79	157	0	200
1606140715.297		20058	8575	101	11039	343	17376	79	157	0	200
1606140715.796		33250	7981	125	24872	272	31330	79	157	0	200
1606140716.297		23779	6046	39	17558	136	22007	79	157	0	200
1606140716.797		6593	2802	58	3574	159	6059	79	157	0	200
1606140717.297		25551	7220	92	18133	106	24649	79	157	0	200
1606140717.804		38655	15706	4246	18375	328	33683	79	157	0	200
